#ID	L01	L02	FDR	log2FC	regulated
TCONS_00001755	2.16161170460411	12.7815058337694	0.000134160554666862	2.50353491060078	up
TCONS_00004387	0	0.434878384103029	9.16099418546423e-10	6.51420428512906	up
TCONS_00006063	1.81769081692856	0.112304098835693	0.000232887017906469	-3.65052464404577	down
TCONS_00006411	0	1.5485297495679	1.55942537860554e-06	5.6604107972868	up
TCONS_00006412	1.22384739277337	0	3.84029209616887e-05	-5.24198951869338	down
TCONS_00006413	2.61678158920119	0	2.55258461034913e-08	-6.19516568288287	down
TCONS_00007265	4.51882114254784	0	3.90554255602638e-12	-7.09844354411866	down
TCONS_00007272	0.402293306658511	4.14088717916258	0.000154806083882963	3.1635856584544	up
TCONS_00008086	0.221574172560314	3.53742499059033	8.51365192011677e-07	3.78971150793688	up
